timestamp_utc,unix_ms,event_type,best_yes_bid,best_yes_ask,mid_yes,spread_yes,best_no_bid,best_no_ask,mid_no,spread_no,yes_depth_3,no_depth_3
2026-05-28T02:14:15.414760+00:00,1779934455414,snapshot,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,848.6,2675.39
2026-05-28T02:14:15.422193+00:00,1779934455422,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,848.6,2675.39
2026-05-28T02:14:15.423148+00:00,1779934455423,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,848.6,2675.39
2026-05-28T02:14:15.423753+00:00,1779934455423,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,874.03,2675.39
2026-05-28T02:14:15.424379+00:00,1779934455424,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,874.03,2675.39
2026-05-28T02:14:15.425016+00:00,1779934455425,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,874.03,2675.39
2026-05-28T02:14:15.425563+00:00,1779934455425,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,874.03,3475.39
2026-05-28T02:14:15.426129+00:00,1779934455426,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,874.03,3475.39
2026-05-28T02:14:15.426637+00:00,1779934455426,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,874.03,3475.39
2026-05-28T02:14:15.427148+00:00,1779934455427,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,874.03,3475.39
2026-05-28T02:14:15.427679+00:00,1779934455427,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,874.03,3475.39
2026-05-28T02:14:15.449673+00:00,1779934455449,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,902.89,3475.39
2026-05-28T02:14:15.451124+00:00,1779934455451,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,902.89,3639.39
2026-05-28T02:14:15.451585+00:00,1779934455451,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,902.89,3647.39
2026-05-28T02:14:15.459591+00:00,1779934455459,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,902.89,3643.09
2026-05-28T02:14:15.460373+00:00,1779934455460,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,877.46,3643.09
2026-05-28T02:14:15.461270+00:00,1779934455461,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,877.46,3643.09
2026-05-28T02:14:15.461952+00:00,1779934455461,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,877.46,3643.09
2026-05-28T02:14:15.462482+00:00,1779934455462,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,877.46,3643.09
