timestamp_utc,unix_ms,event_type,best_yes_bid,best_no_bid,best_yes_ask,best_no_ask,mid_yes,spread_yes,yes_depth_3,no_depth_3
2026-05-28T02:20:00.007132+00:00,1779934800007,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,623.99
2026-05-28T02:20:00.041125+00:00,1779934800041,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,454.0
2026-05-28T02:20:00.041828+00:00,1779934800041,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,430.0
2026-05-28T02:20:00.042423+00:00,1779934800042,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,230.0
2026-05-28T02:20:00.042950+00:00,1779934800042,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,50.0
2026-05-28T02:20:00.043731+00:00,1779934800043,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,299.28
2026-05-28T02:20:00.044833+00:00,1779934800044,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,299.28
2026-05-28T02:20:00.062164+00:00,1779934800062,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,288.28
2026-05-28T02:20:00.062916+00:00,1779934800062,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,288.28
2026-05-28T02:20:00.063576+00:00,1779934800063,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,288.28
2026-05-28T02:20:00.064074+00:00,1779934800064,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,288.28
2026-05-28T02:20:00.090129+00:00,1779934800090,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,288.28
2026-05-28T02:20:00.091199+00:00,1779934800091,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,300.28
2026-05-28T02:20:00.092167+00:00,1779934800092,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,300.28
2026-05-28T02:20:00.093203+00:00,1779934800093,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,480.28
2026-05-28T02:20:00.094010+00:00,1779934800094,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,480.28
2026-05-28T02:20:00.094773+00:00,1779934800094,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,480.28
2026-05-28T02:20:00.095531+00:00,1779934800095,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,480.28
2026-05-28T02:20:00.115876+00:00,1779934800115,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,980.28
2026-05-28T02:20:00.116590+00:00,1779934800116,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,980.28
2026-05-28T02:20:00.117272+00:00,1779934800117,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1001.53
2026-05-28T02:20:00.117893+00:00,1779934800117,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,991.53
2026-05-28T02:20:00.118545+00:00,1779934800118,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,991.53
2026-05-28T02:20:00.119134+00:00,1779934800119,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,991.53
2026-05-28T02:20:00.119737+00:00,1779934800119,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,991.53
2026-05-28T02:20:00.120371+00:00,1779934800120,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,991.53
2026-05-28T02:20:00.120921+00:00,1779934800120,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,991.53
2026-05-28T02:20:00.121415+00:00,1779934800121,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,991.53
2026-05-28T02:20:00.121960+00:00,1779934800121,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,991.53
2026-05-28T02:20:00.122435+00:00,1779934800122,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,991.53
2026-05-28T02:20:00.122909+00:00,1779934800122,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,991.53
2026-05-28T02:20:00.123405+00:00,1779934800123,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,991.53
2026-05-28T02:20:00.123866+00:00,1779934800123,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,991.53
2026-05-28T02:20:00.146101+00:00,1779934800146,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,991.53
2026-05-28T02:20:00.146848+00:00,1779934800146,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,991.53
2026-05-28T02:20:00.147395+00:00,1779934800147,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,991.53
2026-05-28T02:20:00.147812+00:00,1779934800147,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,991.53
2026-05-28T02:20:00.148279+00:00,1779934800148,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,991.53
2026-05-28T02:20:00.148702+00:00,1779934800148,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,991.53
2026-05-28T02:20:00.149117+00:00,1779934800149,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,991.53
2026-05-28T02:20:00.149530+00:00,1779934800149,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,991.53
2026-05-28T02:20:00.173934+00:00,1779934800173,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,990.53
2026-05-28T02:20:00.174707+00:00,1779934800174,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,990.53
2026-05-28T02:20:00.175215+00:00,1779934800175,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,990.53
2026-05-28T02:20:00.175792+00:00,1779934800175,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1040.53
2026-05-28T02:20:00.176598+00:00,1779934800176,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1040.53
2026-05-28T02:20:00.197264+00:00,1779934800197,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1040.53
2026-05-28T02:20:00.199943+00:00,1779934800199,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1040.53
2026-05-28T02:20:00.200698+00:00,1779934800200,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1040.53
2026-05-28T02:20:00.201273+00:00,1779934800201,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.201812+00:00,1779934800201,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.224716+00:00,1779934800224,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.225472+00:00,1779934800225,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.226794+00:00,1779934800226,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
